Source,Data Subject,URL,Subject,Area,Years,Detail,Host,Comment
https://data-library.esiil.org/,EDS in Indian Country: Native Lands Digital,https://data-library.esiil.org/indian_country/native_lands_digital/native_lands_digital/,Native land maps,,,,,
https://data-library.esiil.org/,EDS in Indian Country: National Atlas,https://data-library.esiil.org/indian_country/national_atlas_of_indian_lands/National_atlas_of_indian_lands/,Native atlas,,,,,
https://data-library.esiil.org/,EDS in Indian Country: AIANNH Native Areas,https://data-library.esiil.org/indian_country/aiannh/AIANNH/,Native areas,,,,,
https://data-library.esiil.org/,Solving water: NEON Aquatic Data,https://data-library.esiil.org/water/neon_aquatic/neon_aquatic/,aquatic,,,,,
https://data-library.esiil.org/,Solving water: EPA Water Quality,https://data-library.esiil.org/water/epa_water_quality/epa_water_quality/,water quality,,,,,
https://data-library.esiil.org/,Solving water: USGS Water Services,https://data-library.esiil.org/water/usgs_water_services/usgs_water_services/,water services,,,,,
https://data-library.esiil.org/,Inst Museum & Library Svcs (IMLS) Data Catalog,https://data-library.esiil.org/librarian/imls/,library catalogs,,,,,
https://data-library.esiil.org/,Cutting-edge remote sensing: NEON Hyperspectral,https://data-library.esiil.org/remote_sensing/neon_hyperspectral/neon_hyperspectral/,hyperspectral,,,,,
https://data-library.esiil.org/,Cutting-edge remote sensing: NEON LIDAR,https://data-library.esiil.org/remote_sensing/lidar_canopy_height/lidar_canopy_height/,LIDAR,,,,,
https://data-library.esiil.org/,Cutting-edge remote sensing: Sentinel2 Multispectral,https://data-library.esiil.org/remote_sensing/sentinel2_aws/sentinel2_aws/,multispectral,,,,,
https://data-library.esiil.org/,Open Street Map,https://data-library.esiil.org/solutions/osm/osm/,street maps,,,,,
https://data-library.esiil.org/,Extreme events & hazards: EPA air,https://data-library.esiil.org/hazards/Air_data/Air_data/,air quality,,,,,
https://data-library.esiil.org/,Extreme events & hazards: FIRED,https://data-library.esiil.org/hazards/FIRED/FIRED/,fire history,,,,,
https://data-library.esiil.org/,Extreme events & hazards: Nat Incident Mgmt Sys,https://data-library.esiil.org/hazards/ICS209_plus/ICS209_Plus/,incident mgmt,,,,,
https://data-library.esiil.org/,Extreme events & hazards: Uranium Mines & Mills,https://data-library.esiil.org/hazards/Uranium_mines/Uranium_mines/,uranium,,,,,
https://data-library.esiil.org/,Species Occurrence as points,https://data-library.esiil.org/scale/iNaturalist/iNaturalist/,species,,,,,
https://data-library.esiil.org/,Data ethics: World Governance Indicators,https://data-library.esiil.org/ethics/wgi/wgi/,governments,,,,,
https://data-library.esiil.org/,Ecological forecasting: NEON carbon,https://data-library.esiil.org/forecasting/neon/neon/,carbon,,,,,
https://data-library.esiil.org/,Ecological forecasting: National phenology network,https://data-library.esiil.org/forecasting/Phenology_network/Phenology_network/,phenology,,,,,
https://data-library.esiil.org/,Ecological forecasting: NEON4Cast,https://github.com/eco4cast/neon4cast-example,weather forecast,,,,,
https://data-library.esiil.org/,Ecological forecasting: NEON LIDAR after fire,,broken,,,,,broken
https://data-library.esiil.org/,Data harmonization: DRYAD,https://data-library.esiil.org/harmonization/dryad/dryad/,DRYAD repository,,,,,
https://data-library.esiil.org/,Data harmonization: NEON & LTER Macroverts,https://data-library.esiil.org/harmonization/neon_and_lter/neon_and_lter/,macrovertebrates,,,,,
https://data-library.esiil.org/,Data harmonization: NEON & LTER Organismal,https://data-library.esiil.org/harmonization/neon_lidar_and_organismal/neon_lidar_and_organismal/,broken,,,,,
https://data-library.esiil.org/,Food supply: UN Food Balance Sheets,https://data-library.esiil.org/food/FAOSTAT/FAO/,food,,,,,
https://data-library.esiil.org/,Social justice: Historic Redlining,https://data-library.esiil.org/justice/redlining/redlining/,redlining,,,,,
https://data-library.esiil.org/,Social justice: US Congress Voting,https://data-library.esiil.org/justice/congress/congress/,US congres voting,,,,,
https://data-library.esiil.org/,Decision making & policy: US Census,https://data-library.esiil.org/policy/census/US_Census/,US census,,,,,
https://data-library.esiil.org/,Decision making & policy: FDIC Failed Banks,https://data-library.esiil.org/policy/bank_fail/FDIC_Failed_Bank/,US failed banks,,,,,
https://data-library.esiil.org/,AI in EDS: WeatherBench,https://data-library.esiil.org/AI/weatherbench/weatherbench/,weather,,,,,
https://data-library.esiil.org/,"Math, modeling, stats: NEON Tick Pathogen",https://data-library.esiil.org/math/neon_pathogen/neon_pathogen/,ticks,,,,,
https://data-library.esiil.org/,"Math, modeling, stats: Eco-Florida food network",https://data-library.esiil.org/math/foodweb/foodweb/,food,,,,,
https://data-library.esiil.org/,"Math, modeling, stats: Mammal Primate Assoc",https://data-library.esiil.org/math/mammal_primate_association/mammal_primate_associations/,mammals,,,,,
https://data-library.esiil.org/,EDS specific education: NCES,https://data-library.esiil.org/education/NCES/NCES/,education NCES,,,,,
https://data-library.esiil.org/,EDS specific education: Nonprofit Orgs,https://data-library.esiil.org/education/nonprofit_explorer/nonprofit_explorer/,nonprofits,,,,,
,,,,,,,,
https://cu-esiil.github.io/hackathon2023_datacube/code_for_building_cube/Pull_flood_data/,Flood event inventory,https://cu-esiil.github.io/hackathon2023_datacube/code_for_building_cube/Pull_flood_data/,large flood events,global,1985+,,U CO,
